,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
180,Marvel'S Guardians Of The Galaxy: The Telltale Series,67,4,7.1,12.0,T,"['Action', ' Adventure', ' General', ' 3D', ' Third-Person']",2017,Warner Bros. Interactive Entertainment,0.05
181,Disneyland Adventures,67,9,5.7,20.0,E10+,"['Action Adventure', ' General']",2017,Microsoft Studios,0.07
182,Dragon Ball: Xenoverse,67,18,7.1,138.0,T,"['Action', ' Fighting', ' 3D']",2015,Namco Bandai Games,0.35
183,Monochroma,66,11,,,T,"['Action', ' Platformer', ' 2D']",2016,Unknown,0.0
184,A Boy And His Blob,66,4,,,E,"['Action', ' Platformer', ' 2D']",2016,,0.0
185,Neverwinter,66,14,5.0,161.0,T,"['Role-Playing', ' Massively Multiplayer Online', ' Massively Multiplayer', ' Fantasy']",2015,,0.0
186,Cobalt,66,13,7.3,19.0,E10+,"['Action', ' Platformer', ' Platformer', ' 2D', ' 2D']",2016,,0.0
187,Flatout 4: Total Insanity,66,15,5.9,20.0,T,"['Racing', ' Arcade', ' Automobile']",2017,Bigben Interactive,0.01
188,Never Alone,66,14,6.7,39.0,E10+,"['Action', ' Platformer', ' 2D']",2014,,0.0
189,Just Dance 2016,66,10,6.1,18.0,E10+,"['Action', ' Rhythm', ' Dancing']",2015,Ubisoft,0.38
190,Sherlock Holmes: The Devil'S Daughter,66,12,7.2,45.0,T,"['Adventure', ' General']",2016,Bigben Interactive,0.06
191,Agatha Christie'S The Abc Murders,66,7,6.6,10.0,T,"['Adventure', ' 3D', ' Third-Person']",2016,Microids,0.05
192,Ride 2,66,7,7.4,13.0,E,"['Racing', ' Simulation', ' Automobile']",2017,Milestone S.r.l,0.08
193,Saints Row: Gat Out Of Hell,65,16,6.3,34.0,M,"['Action Adventure', ' General', ' Modern', ' Open-World']",2015,Deep Silver,0.02
194,Anthem,65,24,3.9,669.0,T,"['Role-Playing', ' Action RPG']",2019,Electronic Arts,0.0
195,Battle Worlds: Kronos,65,4,5.3,4.0,E10+,"['Strategy', ' Turn-Based', ' General']",2016,Nordic Games,0.01
196,Powerstar Golf,65,27,5.6,133.0,E,"['Arcade', ' Sports', ' Traditional', ' Individual', ' Golf', ' Arcade']",2013,,0.0
197,The Crew: Wild Run,65,5,6.3,22.0,T,"['Racing', ' Simulation', ' Automobile']",2015,Ubisoft,0.02
198,The Escapists: The Walking Dead,65,19,7.3,6.0,T,"['Action', ' General']",2015,Team17 Software,0.0
199,F1 2015,64,13,6.2,26.0,E,"['Racing', ' Simulation', ' Automobile']",2015,Codemasters,0.25
200,The Golf Club,64,15,5.3,63.0,E,"['Traditional', ' Sports', ' Individual', ' Golf', ' Sim']",2014,Ravenscourt,0.07
201,Assassin'S Creed Chronicles: India,64,20,5.1,44.0,T,"['Action Adventure', ' Linear']",2016,,0.0
202,Kaiju Panic,64,4,,,E10+,"['Strategy', ' Real-Time', ' Command']",2015,,0.0
203,We Happy Few,64,17,5.5,72.0,M,"['Action Adventure', ' General']",2018,Gearbox Software,0.09
204,The Crew,64,18,5.8,190.0,T,"['GT / Street', ' Driving', ' Racing', ' Simulation', ' GT / Street', ' Automobile']",2014,Ubisoft,0.71
205,Resident Evil 6,63,12,6.9,96.0,M,"['Action Adventure', ' Survival']",2016,Capcom,0.07
206,Recore,63,75,6.7,582.0,T,"['Action Adventure', ' General']",2016,Microsoft Studios,0.26
207,Moons Of Madness,63,7,,,M,"['Action Adventure', ' Survival']",2020,Unknown,0.0
208,Assetto Corsa,63,10,6.5,33.0,E,"['Racing', ' Simulation', ' Automobile']",2016,505 Games,0.02
209,Shiftlings,63,10,5.8,4.0,T,"['Action', ' Platformer', ' 2D']",2015,,0.0
210,Sonic Forces,62,12,7.1,205.0,E10+,"['Action Adventure', ' General']",2017,Sega,0.29
211,Assassin'S Creed Chronicles: Russia,62,24,4.5,36.0,T,"['Action Adventure', ' Linear']",2016,,0.0
212,Inside My Radio,62,5,,,E10+,"['Action', ' Platformer', ' 2D']",2015,,0.0
